"date","yd1.Store_StaffGage","yp1.in_situ_average","yp2.TerraClimate","yp3.ERA5","yp4.CRUTS_adj","yp5.MERRA2","yp6.CAPA","yp7.NCEP_NARR","ye1.GLEV","ye2.CRUTS_PET","ye3.REA","ye4.ERA5","ye5.MERRA2","ye6.NCEP_NARR","yr1.DWP"
1941-07-01,,6247.8977,,,1894.31454290766,,,,,38595.3252083415,,,,,
1941-08-01,,3993.07566666667,,,3254.04338236712,,,,,31864.7927551423,,,,,
1941-09-01,,2086.88033333333,,,324.505139577162,,,,,25373.1403087221,,,,,
1941-10-01,,7678.58485,,,10835.1771375227,,,,,16086.8084381271,,,,,
1941-11-01,,3556.09406666667,,,4361.16586028397,,,,,10500.2777562314,,,,,
1941-12-01,,25832.2176,,,36510.1210068941,,,,,6357.860788608,,,,,
1942-01-01,,7421.84153333333,,,11479.5392108537,,,,,6737.46940059555,,,,,
1942-02-01,,15880.755375,,,9531.98529372322,,,,,7780.5975594659,,,,,
1942-03-01,,14072.900975,,,6194.59874865097,,,,,13860.3434857987,,,,,
1942-04-01,,15476.3868,,,10695.7159661849,,,,,17227.4178135099,,,,,
1942-05-01,,10846.2074,,,9036.13803657117,,,,,24937.495326727,,,,,
1942-06-01,,2642.6725,,,864.467257782375,,,,,33753.2332692409,,,,,
1942-07-01,,5916.60941666667,,,552.500540610225,,,,,41450.7533104507,,,,,
1942-08-01,,4735.25616666667,,,1007.93300455066,,,,,36214.1304408708,,,,,
1942-09-01,,768.169583333333,,,594.656092330485,,,,,27218.6078272198,,,,,
1942-10-01,,675.491666666667,,,1730.5873403525,,,,,18549.4266726844,,,,,
1942-11-01,,6488.731875,,,13036.2620243507,,,,,10327.182761948,,,,,
1942-12-01,,7237.59686666667,,,10945.9743157258,,,,,7111.5454075832,,,,,
1943-01-01,,23799.726,,,38880.5777421191,,,,,7486.31730210941,,,,,
1943-02-01,,4024.04926666667,,,7828.20448249217,,,,,8973.50684702315,,,,,
1943-03-01,,10512.2592,,,25198.9091918354,,,,,12567.322075218,,,,,
1943-04-01,,21328.1186083333,,,6048.08086470435,,,,,19614.9580542191,,,,,
1943-05-01,,4491.70946666667,,,1040.25655251426,,,,,28911.9585442332,,,,,
1943-06-01,,12785.772925,,,3275.87260688235,,,,,31438.3398619867,,,,,
1943-07-01,,6832.9158,,,2216.94500687631,,,,,40006.5111627624,,,,,
1943-08-01,,1832.3977,,,299.13173967822,,,,,35519.1494884072,,,,,
1943-09-01,,3077.98833333333,,,1146.72476365473,,,,,28901.5833675959,,,,,
1943-10-01,,4398.42975,,,5466.43243662593,,,,,17455.9125418524,,,,,
1943-11-01,,2042.481,,,8794.7469444609,,,,,11427.0592365,,,,,
1943-12-01,,9933.43413333333,,,12207.1052554018,,,,,7682.57803373456,,,,,
1944-01-01,,10950.92548125,,,14750.035615652,,,,,7870.21001019641,,,,,
1944-02-01,,19179.509625,,,15818.0807810134,,,,,8066.48091873192,,,,,
1944-03-01,,8206.15155,,,6128.86426186049,,,,,14066.5476775057,,,,,
1944-04-01,,5706.94471875,,,6030.26993088441,,,,,17974.629218629,,,,,
1944-05-01,,6964.070925,,,3236.10181130591,,,,,28331.5226965379,,,,,
1944-06-01,,1925.12694375,,,2753.93617838435,,,,,30316.9608341253,,,,,
1944-07-01,,1866.5326125,,,377.769374324152,,,,,40123.7074325083,,,,,
1944-08-01,,644.7049,,,287.62619420738,,,,,37281.4447706434,,,,,
1944-09-01,,425.35176875,,,598.563042385432,,,,,28061.0876501774,,,,,
1944-10-01,,528.1372125,,,5119.77404632102,,,,,19057.0565541418,,,,,
